#Centroids	beta_prevalence	mean_abundance	alpha_prevalence_Y	alpha_prevalence_X	ppanini_score_X	ppanini_score_Y
SRS015996.17703	0.416666666667	2530.14973948	0.5	0.333333333333	16.481117359	13.8172738444
SRS019597.1422	0.333333333333	11830.8077903	0.0	0.666666666667	18.5048540103	0.979602049751
SRS015996.5577	0.416666666667	2674.23502406	0.5	0.333333333333	16.5633375541	13.8750169163
SRS019597.1424	0.416666666667	4338.46264153	0.5	0.333333333333	17.6421729996	14.6241508271
SRS015996.12490	0.416666666667	2501.82716777	0.5	0.333333333333	16.4465607753	13.7929770246
SRS015996.1989	0.416666666667	2435.5394394	0.5	0.333333333333	16.3879762024	13.7517484063
SRS019597.1918	0.416666666667	3426.94725825	0.5	0.333333333333	17.1601980061	14.2914176524
UniRef90_D5V8R5	0.166666666667	9628.5067202	0.0	0.333333333333	18.0902846689	0.979514446864
SRS015996.5532	0.416666666667	2705.18681831	0.5	0.333333333333	16.5792212745	13.886161298
SRS015996.5095	0.416666666667	2968.79804032	0.5	0.333333333333	16.7743285411	14.0227705793
SRS015996.9347	0.416666666667	3745.6432869	0.5	0.333333333333	17.345854292	14.4199554634
UniRef90_D5VA64	0.166666666667	7301.50325712	0.0	0.333333333333	17.904948814	0.978965766635
SRS019597.1636	0.416666666667	2458.46216353	0.5	0.333333333333	16.4199476821	13.7742540609
SRS015996.8768	0.416666666667	2206.24389484	0.5	0.333333333333	16.2704124873	13.6688702743
SRS011132.34	0.416666666667	4275.51477626	0.5	0.333333333333	17.6167628964	14.6066865501
SRS015996.15223	0.416666666667	2136.36417954	0.5	0.333333333333	16.1899522955	13.6120383037
SRS015996.8931	0.416666666667	3467.01450926	0.5	0.333333333333	17.1912337859	14.3129374114
UniRef90_L0WLD9	0.166666666667	6417.99652936	0.0	0.333333333333	17.7941048973	0.978632455553
SRS015996.14315	0.416666666667	3635.90574699	0.5	0.333333333333	17.3201486361	14.4021860244
SRS015996.8506	0.416666666667	3075.37027766	0.5	0.333333333333	16.9157857008	14.1214898552
SRS011132.35	0.416666666667	2925.35221534	0.5	0.333333333333	16.7427887118	14.0007225044
