# Gene Family	demo_Abundance-RPKs
UniRef90_A6KX80	12.3456790123
UniRef90_A6KX80|g__Bacteroides.s__Bacteroides_vulgatus	12.3456790123
UniRef90_A6L0A1	12.3456790123
UniRef90_A6L0A1|g__Bacteroides.s__Bacteroides_dorei	6.1728395062
UniRef90_A6L0A1|g__Bacteroides.s__Bacteroides_vulgatus	6.1728395062
UniRef90_R6HFJ1	12.3456790123
UniRef90_R6HFJ1|g__Bacteroides.s__Bacteroides_dorei	12.3456790123
UniRef90_A6L031	12.3456790123
UniRef90_A6L031|g__Bacteroides.s__Bacteroides_dorei	7.4074074074
UniRef90_A6L031|g__Bacteroides.s__Bacteroides_vulgatus	4.9382716049
UniRef90_W1IYL7	12.1580837819
UniRef90_W1IYL7|unclassified	12.1580837819
UniRef90_A6L6X2	12.1212121212
UniRef90_A6L6X2|g__Bacteroides.s__Bacteroides_dorei	6.0606060606
UniRef90_A6L6X2|g__Bacteroides.s__Bacteroides_vulgatus	6.0606060606
UniRef90_B5A7F8	12.0481927711
UniRef90_B5A7F8|g__Bacteroides.s__Bacteroides_dorei	12.0481927711
UniRef90_C3PZF9	12.0481927711
UniRef90_C3PZF9|g__Bacteroides.s__Bacteroides_dorei	12.0481927711
UniRef90_R6HUF6	12.0120120120
UniRef90_R6HUF6|g__Bacteroides.s__Bacteroides_dorei	12.0120120120
UniRef90_A6L7J0	11.9904076739
UniRef90_A6L7J0|g__Bacteroides.s__Bacteroides_dorei	6.3948840927
UniRef90_A6L7J0|g__Bacteroides.s__Bacteroides_vulgatus	5.5955235811
UniRef90_Q89YW2	11.9760479042
UniRef90_Q89YW2|g__Bacteroides.s__Bacteroides_dorei	11.9760479042
UniRef90_A6L6E0	11.9047619048
UniRef90_A6L6E0|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_C3Q5G7	11.9047619048
UniRef90_C3Q5G7|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
UniRef90_C3Q5W4	11.9047619048
UniRef90_C3Q5W4|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
UniRef90_D1K7N4	11.9047619048
UniRef90_D1K7N4|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
UniRef90_G1UM66	11.9047619048
UniRef90_G1UM66|g__Bacteroides.s__Bacteroides_vulgatus	11.9047619048
UniRef90_R6HXB0	11.9047619048
UniRef90_R6HXB0|g__Bacteroides.s__Bacteroides_dorei	11.9047619048
