#FASTA	SRS056210.fasta	SRS011132.fasta	SRS019597.fasta	SRS015996.fasta	SRS016033.fasta
#Niche	X	X	X	Y	Y
#Genes	SRS056210	SRS011132	SRS019597	SRS015996	SRS016033
SRS011132.265|UniRef90_unknown	0.0	0.0634005763689	0.0	0.0	0.0
SRS011132.111|UniRef90_unknown	0.0	0.061135371179	0.0	0.0	0.0
SRS011132.29|UniRef90_unknown	0.0	0.0735294117647	0.0	0.0	0.0
SRS011132.39|UniRef90_unknown	0.0	0.0825242718447	0.0	0.0	0.0
SRS011132.234|UniRef90_unknown	0.0	0.142857142857	0.0	0.0	0.0
SRS011132.188|UniRef90_unknown	0.0	0.0830188679245	0.0	0.0	0.0
SRS011132.76|UniRef90_unknown	0.0	0.0740740740741	0.0	0.0	0.0
SRS011132.198|UniRef90_unknown	0.0	0.0848708487085	0.0	0.0	0.0
SRS011132.127|UniRef90_unknown	0.0	0.0729613733906	0.0	0.0	0.0
SRS011132.235|UniRef90_unknown	0.0	0.0662251655629	0.0	0.0	0.0
SRS011132.205|UniRef90_unknown	0.0	0.0797101449275	0.0	0.0	0.0
SRS011132.192|UniRef90_unknown	0.0	0.0711610486891	0.0	0.0	0.0
SRS011132.209|UniRef90_unknown	0.0	0.0611510791367	0.0	0.0	0.0
SRS011132.250|UniRef90_unknown	0.0	0.06875	0.0	0.0	0.0
SRS011132.274|UniRef90_unknown	0.0	0.0672268907563	0.0	0.0	0.0
SRS011132.221|UniRef90_unknown	0.0	0.0582191780822	0.0	0.0	0.0
SRS011132.78|UniRef90_unknown	0.0	0.0509259259259	0.0	0.0	0.0
SRS011132.37|UniRef90_unknown	0.0	0.0825242718447	0.0	0.0	0.0
SRS011132.72|UniRef90_unknown	0.0	0.0744186046512	0.0	0.0	0.0
SRS011132.144|UniRef90_unknown	0.0	0.0826446280992	0.0	0.0	0.0
SRS011132.105|UniRef90_unknown	0.0	0.0577777777778	0.0	0.0	0.0
SRS011132.276|UniRef90_unknown	0.0	0.0722222222222	0.0	0.0	0.0
SRS011132.189|UniRef90_unknown	0.0	0.0639097744361	0.0	0.0	0.0
SRS011132.215|UniRef90_unknown	0.0	0.0918727915194	0.0	0.0	0.0
SRS011132.293|UniRef90_unknown	0.0	0.0765765765766	0.0	0.0	0.0
SRS011132.299|UniRef90_unknown	0.0	0.0712871287129	0.0	0.0	0.0
SRS011132.14|UniRef90_unknown	0.0	0.055	0.0	0.0	0.0
SRS011132.202|UniRef90_unknown	0.0	0.0656934306569	0.0	0.0	0.0
SRS011132.275|UniRef90_unknown	0.0	0.047619047619	0.0	0.0	0.0
SRS011132.270|UniRef90_unknown	0.0	0.08	0.0	0.0	0.0
SRS011132.296|UniRef90_unknown	0.0	0.0751565762004	0.0	0.0	0.0
SRS011132.94|UniRef90_unknown	0.0	0.0945945945946	0.0	0.0	0.0
SRS011132.75|UniRef90_unknown	0.0	0.0833333333333	0.0	0.0	0.0
SRS011132.9|UniRef90_unknown	0.0	0.0519187358916	0.0	0.0	0.0
SRS011132.284|UniRef90_unknown	0.0	0.0621890547264	0.0	0.0	0.0
SRS011132.141|UniRef90_unknown	0.0	0.075	0.0	0.0	0.0
SRS011132.216|UniRef90_unknown	0.0	0.0696864111498	0.0	0.0	0.0
SRS011132.247|UniRef90_unknown	0.0	0.0632911392405	0.0	0.0	0.0
